City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Palmer,US,42.1584,-72.3287,79.25,69,100,5.75,overcast clouds
198,Auki,SB,-8.7676,160.7034,79.47,76,100,6.89,overcast clouds
199,Madiun,ID,-7.6298,111.5239,74.43,92,51,3.33,broken clouds
200,Bilibino,RU,68.0546,166.4372,58.48,61,100,5.7,overcast clouds
201,Umea,SE,63.8284,20.2597,61.92,67,0,5.75,clear sky
202,Ayan,RU,56.45,138.1667,59.52,85,2,2.42,clear sky
203,Oktyabrskoye,RU,43.0645,44.7417,69.94,73,60,2.24,broken clouds
204,Kindu,CD,-2.95,25.95,73.13,41,2,2.64,clear sky
205,Coaticook,CA,45.1334,-71.7991,67.77,97,100,4.41,overcast clouds
206,Joshimath,IN,30.5667,79.5667,74.68,92,85,2.15,overcast clouds
207,Vila Velha,BR,-20.3297,-40.2925,78.75,77,20,14.97,few clouds
208,Dedougou,BF,12.4667,-3.4667,89.78,39,100,4.5,overcast clouds
209,Paulo Afonso,BR,-9.4061,-38.2147,75.49,78,75,8.05,broken clouds
210,Isoka,ZM,-10.1606,32.6335,54.27,72,3,1.32,clear sky
211,Naze,JP,28.3667,129.4833,76.12,89,32,12.84,scattered clouds
212,Tuatapere,NZ,-46.1333,167.6833,42.46,80,85,7.94,light rain
213,Marche-En-Famenne,BE,50.2,5.3333,64.49,62,4,9.42,clear sky
214,Grand Gaube,MU,-20.0064,57.6608,68.4,74,74,3.0,broken clouds
215,Katobu,ID,-4.9408,122.5276,72.99,94,100,4.16,overcast clouds
216,Saint-Leu,RE,-21.15,55.2833,67.03,75,96,7.58,overcast clouds
217,Svetlogorsk,BY,52.6333,29.7333,66.83,89,90,4.52,overcast clouds
218,Sur,OM,22.5667,59.5289,86.05,77,100,3.04,overcast clouds
219,Makakilo City,US,21.3469,-158.0858,79.12,74,100,13.8,light intensity drizzle
220,Gabu,GW,12.2833,-14.2167,77.16,89,95,5.35,overcast clouds
221,Benghazi,LY,32.1167,20.0667,80.19,82,0,10.76,clear sky
222,Saint-Francois,FR,46.4154,3.9054,74.64,46,0,8.05,clear sky
223,Port Elizabeth,ZA,-33.918,25.5701,59.31,99,100,11.5,light rain
224,Kargil,IN,34.5667,76.1,63.95,56,58,5.44,broken clouds
225,Dabwali,IN,29.95,74.7333,97.05,46,99,5.32,overcast clouds
226,Bumba,CD,2.1833,22.4667,72.23,94,59,2.46,light rain
227,Birakan,RU,49.0167,131.7,65.26,98,45,2.1,scattered clouds
228,Waddan,LY,29.1614,16.139,85.98,33,0,15.79,clear sky
229,Faya,SA,18.3851,42.4509,71.71,44,61,5.08,broken clouds
230,Waitati,NZ,-45.75,170.5667,45.81,63,69,11.86,broken clouds
231,Sibolga,ID,1.7427,98.7792,78.58,79,99,2.68,overcast clouds
232,Adrar,MR,20.5022,-10.0711,104.86,8,73,8.93,broken clouds
233,Brae,GB,60.3964,-1.353,52.02,85,89,16.13,overcast clouds
234,Chaozhou,CN,23.6651,116.6379,76.86,98,100,1.52,overcast clouds
235,Homer,US,59.6425,-151.5483,64.78,76,0,11.5,clear sky
236,Narsaq,GL,60.9167,-46.05,55.62,98,100,3.38,moderate rain
237,Uyuni,BO,-20.4597,-66.825,54.0,19,65,12.62,broken clouds
