City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Kodiak,57.79,-152.4072,53.11,94,100,14.97,US,2022-07-03 03:54:58
126,Tiksi,71.6872,128.8694,43.47,93,100,4.79,RU,2022-07-03 03:57:14
127,Terney,45.0503,136.6092,80.98,60,99,8.66,RU,2022-07-03 03:57:14
128,Butaritari,3.0707,172.7902,83.1,75,30,21.97,KI,2022-07-03 03:57:15
129,Sarkand,45.41,79.9186,82.51,18,26,8.05,KZ,2022-07-03 03:57:15
130,Souillac,-20.5167,57.5167,70.18,78,40,14.97,MU,2022-07-03 03:57:15
131,Filingue,14.3521,3.3168,85.1,55,21,12.73,NE,2022-07-03 03:57:15
132,Jamestown,42.097,-79.2353,63.72,81,100,2.89,US,2022-07-03 03:57:16
133,Cururupu,-1.8283,-44.8683,74.25,94,27,3.87,BR,2022-07-03 03:52:26
134,Callaway,30.153,-85.5699,78.96,89,20,3.44,US,2022-07-03 03:57:16
135,Ponta Do Sol,32.6667,-17.1,70.43,77,48,3.91,PT,2022-07-03 03:57:17
136,Ribeira Grande,38.5167,-28.7,66.27,86,38,13.02,PT,2022-07-03 03:57:17
137,Greytown,-29.0642,30.5928,44.6,64,0,3.58,ZA,2022-07-03 03:58:17
138,Darnah,32.767,22.6367,78.75,81,0,17.69,LY,2022-07-03 03:58:18
139,Mahebourg,-20.4081,57.7,73.26,78,40,14.97,MU,2022-07-03 03:58:18
140,Sassandra,4.95,-6.0833,74.26,84,99,6.58,CI,2022-07-03 03:58:18
141,Nelson Bay,-32.7167,152.15,64.99,95,100,21.0,AU,2022-07-03 03:58:19
142,Beringovskiy,63.05,179.3167,45.18,96,100,11.3,RU,2022-07-03 03:58:19
143,Cape Town,-33.9258,18.4232,55.89,90,75,11.5,ZA,2022-07-03 03:54:34
144,Margate,51.3813,1.3862,57.69,89,13,1.99,GB,2022-07-03 03:58:20
145,Saint George,37.1041,-113.5841,97.39,10,0,14.97,US,2022-07-03 03:54:55
146,Saint-Denis,48.9167,2.3333,60.15,76,0,5.75,FR,2022-07-03 03:58:20
147,Bud,39.447,-86.1758,77.02,53,100,5.21,US,2022-07-03 03:57:26
148,Codrington,-38.2667,141.9667,53.33,66,87,11.99,AU,2022-07-03 03:58:21
149,Morehead,37.2711,-87.1764,74.98,99,75,0.0,US,2022-07-03 03:58:21
150,Sitka,57.0531,-135.33,60.69,77,0,4.61,US,2022-07-03 03:49:57
151,Lata,40.1629,-8.3327,63.07,83,1,2.75,PT,2022-07-03 03:55:02
152,Atbasar,51.8,68.3333,66.4,53,0,8.23,KZ,2022-07-03 03:58:22
153,Taunggyi,20.7833,97.0333,74.44,70,91,4.45,MM,2022-07-03 03:58:23
154,Chake Chake,-5.2459,39.7666,72.3,77,4,9.42,TZ,2022-07-03 03:58:23
155,Kathmandu,27.7167,85.3167,80.82,69,75,3.44,NP,2022-07-03 03:55:04
156,Dingle,10.9995,122.6711,88.52,66,76,9.53,PH,2022-07-03 03:58:24
157,Grand Gaube,-20.0064,57.6608,73.38,60,92,13.0,MU,2022-07-03 03:58:24
158,Bulalacao,12.3254,121.3435,85.21,75,99,9.06,PH,2022-07-03 03:58:24
159,Wanganui,-39.9333,175.05,56.59,78,18,15.99,NZ,2022-07-03 03:58:25
160,Bow Island,49.8668,-111.3684,67.26,72,48,8.05,CA,2022-07-03 03:58:25
161,Nanortalik,60.1432,-45.2371,45.1,74,100,5.28,GL,2022-07-03 03:58:25
162,Itaueira,-7.6033,-43.0256,76.28,70,94,11.86,BR,2022-07-03 03:58:26
163,Aksarka,66.5606,67.7975,47.34,66,100,17.98,RU,2022-07-03 03:58:26
164,Guanica,17.9716,-66.908,80.11,88,100,21.43,PR,2022-07-03 03:58:26
165,Norman Wells,65.282,-126.8329,77.04,44,20,18.41,CA,2022-07-03 03:49:50
166,Sioux Lookout,50.1001,-91.917,51.87,76,40,0.0,CA,2022-07-03 03:58:27
167,Pisco,-13.7,-76.2167,60.85,88,40,5.75,PE,2022-07-03 03:58:27
168,Upernavik,72.7868,-56.1549,38.48,90,54,2.33,GL,2022-07-03 03:58:27
